pca1,pca2
-2.998059462996190305e+00,2.257506980047679246e+00
1.201462795552234564e+00,3.537254123520660709e+00
-2.584764698378216874e+00,1.844105816133117637e+00
-3.863747405578619176e+00,5.487142599409439159e-01
1.209834784807095165e+00,1.433963293106377268e+00
-5.785095814062094499e-01,5.619966475452129462e-01
1.328621580478853925e+00,2.093682150912622220e+00
-3.454887151347844743e+00,8.741671841071264604e-01
-3.567528742387528595e+00,-1.463272103169387384e-01
-2.151615143580101641e+00,2.295942423066914984e+00
-2.739727096207530188e+00,7.607213190195282193e-01
-3.430511505010063633e+00,8.440203581305072422e-01
-9.098883919871060266e-01,2.281207311551902428e-01
-3.425912867066042700e-01,-3.319262269707080604e-01
1.313631479244614875e+00,4.788878903591490266e-01
1.162959512699634379e+00,4.332758595764805709e-01
1.829451985497394295e+00,1.321355527354713066e+00
-5.465706816523937528e-01,1.634836811406706059e-01
1.250371772198529241e+00,1.817218500493003708e+00
-1.894372717206401324e+00,2.294184101192297404e-02
-2.452272863628394972e-01,7.789515289852490254e-02
6.551769863837723085e-01,6.795030850470149542e-01
-5.447459758796556750e-01,-5.585012579587895765e-01
-1.413011408960290483e-01,1.820822904094074879e-01
6.036936133274942856e-02,1.135635018445730671e+00
4.958167923696822632e-02,2.696348977215425879e-01
6.181439608519379014e-01,7.294357328880833879e-01
-1.921496950420418376e-02,-3.372398937960056631e-01
8.791833472200244470e-01,8.587527574722739754e-01
4.324640229805893354e-01,5.870570155608130225e-01
1.528068385423810627e+00,1.034441298905999007e+00
-1.239720330652015701e+00,-7.918672948619863705e-01
-1.930260166373215736e+00,-1.747744869011522484e+00
9.676824588785865044e-01,-1.456159097180171821e-02
-8.961438879159026039e-01,-3.195266654816761864e-01
1.727961128126835333e-01,-1.059942524624734261e+00
-1.498133415477043817e+00,-1.381164384600918948e+00
1.905848371175524081e+00,2.074745453333962431e+00
-3.993194097380170504e-01,5.787312493340401182e-02
3.291092896219766750e+00,2.366847651196711144e+00
1.569179449244698654e-01,6.571882475151284986e-01
-1.917059499973064129e+00,3.508354175883439674e-01
3.519374164292227380e+00,2.751947750673564563e+00
-1.654776713140676536e+00,7.834051879195789159e-01
2.074467024285909567e+00,-7.737874279112036957e-01
7.715747831241921428e-01,-2.457007846911915538e-02
1.573691578261603219e+00,-9.711820372541998259e-01
3.108842804358103340e+00,-3.827435302313267340e-01
-2.724495519539432031e+00,2.794465111970509952e-01
-2.621611077510165089e+00,-4.411165422483680904e-02
-2.248106021588879067e+00,1.011661304905768777e+00
1.831966668281936439e+00,1.397769943410058113e+00
1.297327819645228142e-01,-1.587515526267639643e-01
-9.368748957921559928e-01,-1.613296244932895362e+00
-4.977945305289059319e-01,-1.380322521465106034e+00
3.804284012686142358e+00,2.312514454376691564e+00
-2.753577440133518905e+00,1.128875511727920555e+00
-1.880650205146584319e+00,1.429366989833060986e+00
