id,roundid,entermaintence,exitmaintence
1,1,2018-07-22 15:03:21,2018-07-22 15:03:32
2,9,2018-07-22 15:12:06,2018-07-22 15:12:14
3,19,2018-07-22 15:22:24,2018-07-22 15:22:37
4,20,2018-07-22 15:23:44,2018-07-22 15:23:52
5,23,2018-07-22 15:27:08,2018-07-22 15:27:16
6,25,2018-07-22 15:29:43,2018-07-22 15:29:54
7,26,2018-07-22 15:31:02,2018-07-22 15:31:09
8,31,2018-07-22 15:36:50,2018-07-22 15:36:59
9,39,2018-07-22 15:45:53,2018-07-22 15:46:01
10,47,2018-07-22 15:55:44,2018-07-22 15:55:52
11,49,2018-07-22 15:58:10,2018-07-22 15:58:18
12,60,2018-07-22 16:09:49,2018-07-22 16:09:55
13,69,2018-07-22 16:20:42,2018-07-22 16:20:52
14,73,2018-07-22 16:27:43,2018-07-22 16:27:49
15,75,2018-07-22 16:30:28,2018-07-22 16:30:34
16,77,2018-07-22 16:34:01,2018-07-22 16:34:08
17,81,2018-07-22 16:38:55,2018-07-22 16:39:00
18,92,2018-07-22 16:53:55,2018-07-22 16:54:03
19,93,2018-07-22 16:55:22,2018-07-22 16:55:29
20,97,2018-07-22 17:00:53,2018-07-22 17:01:01
21,112,2018-07-28 20:45:46,2018-07-28 20:46:01
22,112,2018-07-28 20:46:07,2018-07-28 20:46:17
23,113,2018-07-28 20:46:57,2018-07-28 20:47:08
24,114,2018-07-28 20:46:57,2018-07-28 20:47:03
25,120,2018-07-28 20:54:03,2018-07-28 20:54:22
26,119,2018-07-28 20:54:42,2018-07-28 20:54:59
27,126,2018-07-28 21:02:07,2018-07-28 21:02:18
28,128,2018-07-28 21:05:50,2018-07-28 21:05:57
29,129,2018-07-28 21:07:39,2018-07-28 21:07:45
30,137,2018-07-28 21:21:07,2018-07-28 21:21:14
31,139,2018-07-28 21:23:59,2018-07-28 21:24:06
32,143,2018-07-28 21:29:44,2018-07-28 21:29:58
33,150,2018-07-28 21:39:31,2018-07-28 21:39:42
