id,carid,red,blue,green,yellow,black,white,arriveAtReceiving,loadedDate,arriveAtShipping,unloadedDate
1,4,0,3,7,8,6,0,6/18/18 16:07:49,6/18/18 16:09:59,6/18/18 16:10:25,6/18/18 16:11:00
2,12,9,2,5,0,8,0,6/18/18 16:10:06,6/18/18 16:11:07,6/18/18 16:12:09,6/18/18 16:12:56
3,4,,,,,,,6/18/18 16:12:00,,,
4,4,10,1,0,1,2,10,6/18/18 16:12:08,6/18/18 16:12:59,6/18/18 16:14:00,6/18/18 16:14:39
5,12,,,,,,,6/18/18 16:13:53,,,
6,12,1,5,6,8,0,4,6/18/18 16:14:01,6/18/18 16:14:46,6/18/18 16:15:33,6/18/18 16:16:30
7,4,,,,,,,6/18/18 16:15:27,,,
8,4,0,8,3,0,9,4,6/18/18 16:15:32,6/18/18 16:16:26,6/18/18 16:16:47,6/18/18 16:17:26
9,12,5,3,4,9,1,2,6/18/18 16:16:45,6/18/18 16:17:37,6/18/18 16:17:52,6/18/18 16:18:37
10,4,6,2,0,0,8,8,6/18/18 16:17:48,6/18/18 16:18:41,6/18/18 16:18:52,6/18/18 16:19:23
11,12,6,6,5,5,0,2,6/18/18 16:18:50,6/18/18 16:19:26,6/18/18 16:19:42,6/18/18 16:20:22
12,4,0,7,4,2,2,9,6/18/18 16:19:43,6/18/18 16:20:21,6/18/18 16:20:45,6/18/18 16:21:28
13,12,2,0,3,6,6,7,6/18/18 16:20:36,6/18/18 16:21:16,6/18/18 16:21:34,6/18/18 16:22:36
14,4,8,6,0,4,6,0,6/18/18 16:21:46,6/18/18 16:22:36,6/18/18 16:23:20,6/18/18 16:23:47
15,12,0,8,3,0,7,6,6/18/18 16:23:24,6/18/18 16:24:06,6/18/18 16:24:20,6/18/18 16:24:54
16,4,4,0,4,5,9,2,6/18/18 16:24:11,6/18/18 16:24:46,6/18/18 16:24:58,6/18/18 16:25:47
17,12,1,5,1,5,7,5,6/18/18 16:25:07,6/18/18 16:25:44,6/18/18 16:26:28,6/18/18 16:27:03
18,4,,,,,,,6/18/18 16:26:21,,,
19,4,3,0,5,8,8,0,6/18/18 16:26:27,6/18/18 16:27:07,6/18/18 16:27:30,6/18/18 16:27:59
20,12,5,9,0,2,6,2,6/18/18 16:27:16,6/18/18 16:27:54,6/18/18 16:28:42,6/18/18 16:28:57
21,4,,,,,,,6/18/18 16:28:36,,,
22,4,0,2,6,8,8,0,6/18/18 16:28:41,6/18/18 16:29:11,6/18/18 16:29:24,6/18/18 16:29:54
23,12,4,0,2,6,3,9,6/18/18 16:29:15,6/18/18 16:29:41,6/18/18 16:29:59,6/18/18 16:30:35
24,4,4,0,8,2,4,6,6/18/18 16:30:12,6/18/18 16:30:38,6/18/18 16:30:50,6/18/18 16:31:25
25,12,0,8,4,2,7,3,6/18/18 16:30:49,6/18/18 16:31:18,6/18/18 16:31:34,6/18/18 16:32:13
26,4,7,0,0,1,9,7,6/18/18 16:31:36,6/18/18 16:32:08,6/18/18 16:32:32,6/18/18 16:32:56
27,12,0,0,0,14,1,9,6/18/18 16:32:28,6/18/18 16:32:54,6/18/18 16:33:09,6/18/18 16:33:35
28,4,9,1,3,8,3,0,6/18/18 16:33:16,6/18/18 16:33:40,6/18/18 16:34:06,6/18/18 16:34:30
29,12,3,7,4,4,3,3,6/18/18 16:33:50,6/18/18 16:34:09,6/18/18 16:34:36,6/18/18 16:35:05
30,4,0,1,7,1,8,7,6/18/18 16:34:49,6/18/18 16:35:14,6/18/18 16:35:51,6/18/18 16:36:24
31,12,,,,,,,6/18/18 16:35:45,,,
32,12,5,10,3,2,3,1,6/18/18 16:35:52,6/18/18 16:36:28,6/18/18 16:36:46,6/18/18 16:37:15
33,4,1,0,0,14,3,6,6/18/18 16:36:45,6/18/18 16:37:21,6/18/18 16:37:43,6/18/18 16:38:12
34,12,4,5,9,0,4,2,6/18/18 16:37:29,6/18/18 16:37:58,6/18/18 16:38:19,6/18/18 16:38:47
35,4,8,3,0,1,2,10,6/18/18 16:38:32,6/18/18 16:39:02,6/18/18 16:39:27,6/18/18 16:39:55
36,12,0,4,6,1,3,10,6/18/18 16:39:08,6/18/18 16:39:47,6/18/18 16:40:36,6/18/18 16:40:39
37,4,,,,,,,6/18/18 16:40:29,,,
38,4,2,5,3,5,6,3,6/18/18 16:40:35,6/18/18 16:40:58,6/18/18 16:41:22,6/18/18 16:41:56
39,12,1,6,7,7,0,3,6/18/18 16:41:03,6/18/18 16:41:28,6/18/18 16:42:03,6/18/18 16:42:35
40,4,0,0,3,7,8,6,6/18/18 16:42:16,6/18/18 16:42:50,6/18/18 16:43:14,6/18/18 16:43:41
41,12,3,6,6,1,3,5,6/18/18 16:42:56,6/18/18 16:43:20,6/18/18 16:44:22,6/18/18 16:44:29
42,4,,,,,,,6/18/18 16:44:16,,,
43,4,8,2,6,0,5,3,6/18/18 16:44:21,6/18/18 16:44:49,6/18/18 16:45:14,6/18/18 16:45:51
44,12,0,3,0,9,12,0,6/18/18 16:44:55,6/18/18 16:45:32,6/18/18 16:45:57,6/18/18 16:46:16
45,4,6,8,1,9,0,0,6/18/18 16:46:10,6/18/18 16:46:45,6/18/18 16:47:06,6/18/18 16:47:39
46,12,2,0,8,2,7,5,6/18/18 16:46:49,6/18/18 16:47:36,6/18/18 16:47:50,6/18/18 16:48:15
47,4,11,0,0,0,9,4,6/18/18 16:48:01,6/18/18 16:48:33,6/18/18 16:48:58,6/18/18 16:49:32
48,12,6,0,3,9,3,3,6/18/18 16:48:40,6/18/18 16:49:07,6/18/18 16:49:39,6/18/18 16:50:11
49,4,1,2,5,7,5,4,6/18/18 16:49:52,6/18/18 16:50:23,6/18/18 16:50:47,6/18/18 16:51:19
50,12,6,1,2,6,7,2,6/18/18 16:50:29,6/18/18 16:51:11,6/18/18 16:52:13,6/18/18 16:52:28
51,4,,,,,,,6/18/18 16:51:56,,,
52,4,2,0,10,1,5,6,6/18/18 16:52:12,6/18/18 16:52:42,6/18/18 16:53:06,6/18/18 16:53:35
53,12,1,5,9,6,3,0,6/18/18 16:52:48,6/18/18 16:53:23,6/18/18 16:53:42,6/18/18 16:54:29
54,4,,,,,,,6/18/18 16:54:14,,,
55,4,,,,,,,6/18/18 16:54:32,,,
56,4,2,7,1,7,2,5,6/18/18 16:55:05,6/18/18 16:55:53,6/18/18 16:56:09,6/18/18 16:56:48
57,12,3,6,4,9,0,2,6/18/18 16:55:59,6/18/18 16:56:35,6/18/18 16:56:55,6/18/18 16:57:25
58,4,2,1,9,3,6,3,6/18/18 16:57:02,6/18/18 16:57:24,6/18/18 16:57:41,6/18/18 16:58:09
59,12,7,2,0,0,7,8,6/18/18 16:57:39,6/18/18 16:58:08,6/18/18 16:58:23,6/18/18 16:58:48
60,4,1,3,3,8,5,4,6/18/18 16:58:22,6/18/18 16:58:50,6/18/18 16:59:05,6/18/18 16:59:37
61,12,1,8,6,5,3,1,6/18/18 16:59:02,6/18/18 16:59:30,6/18/18 16:59:46,6/18/18 17:00:19
62,4,4,0,7,7,0,6,6/18/18 16:59:51,6/18/18 17:00:27,6/18/18 17:00:43,6/18/18 17:01:02
63,12,0,0,0,0,0,4,6/18/18 17:00:33,6/18/18 17:00:44,6/18/18 17:01:08,6/18/18 17:01:14
