,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
0,1,0,5,0,7,6,0,0,1,88.0,107.0,18,1,1,1,1,1,1,1,1,1
1,1,8,6,4,7,7,5,0,1,262.0,4574.0,33,1,1,1,1,1,1,1,1,1
2,1,0,8,0,2,6,0,0,1,147.0,537987.0,16,1,1,1,1,1,1,1,1,1
3,1,0,0,1,2,6,0,0,1,91.0,540298.0,8,1,1,1,1,1,1,1,1,1
4,2,7,0,7,9,3,7,0,1,207.0,215.0,26,2,2,2,2,1,2,2,2,2
5,2,1,6,9,5,2,0,0,1,187.0,1093.0,14,2,2,2,2,1,2,2,2,2
6,2,5,8,8,7,5,3,0,1,204.0,3175.0,28,2,2,2,2,1,2,2,2,2
7,3,0,0,0,2,8,2,0,1,91.0,223.0,12,3,1,3,3,1,3,3,2,3
8,3,0,0,3,2,3,0,0,1,122.0,3099.0,5,3,1,3,3,1,3,3,2,3
9,3,0,6,0,10,3,0,0,1,163.0,3674.0,19,3,1,3,3,1,3,3,2,3
10,3,0,0,0,4,4,4,0,1,157.0,538333.0,12,3,1,3,3,1,3,3,2,3
11,3,0,1,0,5,5,0,0,1,107.0,539061.0,11,3,1,3,3,1,3,3,2,3
12,4,1,4,9,7,1,0,0,1,153.0,274.0,13,4,2,4,4,1,4,4,2,4
13,4,8,1,5,1,3,3,0,1,158.0,389.0,16,4,2,4,4,1,4,4,2,4
14,4,7,9,4,0,1,8,0,1,197.0,540458.0,25,4,2,4,4,1,4,4,2,4
15,5,9,4,6,0,6,5,0,1,194.0,348.0,24,5,2,5,5,1,5,5,3,2
16,5,9,6,1,0,7,9,0,1,230.0,3613.0,31,5,2,5,5,1,5,5,3,2
17,5,3,9,4,1,3,2,0,1,133.0,3836.0,18,5,2,5,5,1,5,5,3,2
18,5,3,8,6,9,3,4,0,1,227.0,4904.0,27,5,2,5,5,1,5,5,3,2
19,5,0,0,0,8,1,3,0,1,163.0,5029.0,12,5,2,5,5,1,5,5,3,2
20,5,7,0,4,4,5,1,0,1,195.0,540013.0,17,5,2,5,5,1,5,5,3,2
21,6,8,5,2,1,7,4,0,1,182.0,464.0,25,6,2,6,6,1,6,6,4,5
22,6,1,1,3,1,3,9,0,1,179.0,670.0,15,6,2,6,6,1,6,6,4,5
23,6,0,1,7,9,1,6,0,1,182.0,2983.0,17,6,2,6,6,1,6,6,4,5
24,6,1,5,2,5,7,5,0,1,197.0,539268.0,23,6,2,6,6,1,6,6,4,5
26,7,9,1,4,6,8,0,0,1,190.0,4001.0,24,7,2,7,7,1,7,7,5,6
27,7,0,3,9,1,7,4,0,1,193.0,5616.0,15,7,2,7,7,1,7,7,5,6
28,7,5,0,1,9,4,8,0,1,216.0,539734.0,26,7,2,7,7,1,7,7,5,6
31,8,2,1,2,2,6,1,0,1,174.0,537254.0,12,8,2,8,8,1,8,8,6,7
32,8,1,4,1,0,1,1,0,1,142.0,537641.0,7,8,2,8,8,1,8,8,6,7
33,8,3,1,6,5,5,8,0,1,204.0,538708.0,22,8,2,8,8,1,8,8,6,7
36,9,1,3,0,1,0,5,0,1,161.0,1649.0,10,9,2,9,1,1,6,9,7,8
38,10,3,0,3,8,1,7,0,1,146.0,2099.0,19,10,2,10,9,1,3,10,2,9
40,10,2,9,0,0,5,7,0,1,191.0,5198.0,23,10,2,10,9,1,3,10,2,9
41,11,0,0,0,4,2,10,0,1,140.0,894.0,16,11,1,11,10,1,9,5,1,2
43,11,0,0,8,7,6,0,0,1,181.0,540636.0,13,11,1,11,10,1,9,5,1,2
53,14,5,0,3,2,2,0,0,1,199.0,4433.0,9,6,2,14,13,1,11,2,6,12
