id,roundid,entermaintence,exitmaintence
1,130,7/22/18 15:03,7/22/18 15:03
2,138,7/22/18 15:12,7/22/18 15:12
3,148,7/22/18 15:22,7/22/18 15:22
4,149,7/22/18 15:23,7/22/18 15:23
5,152,7/22/18 15:27,7/22/18 15:27
6,154,7/22/18 15:29,7/22/18 15:29
7,155,7/22/18 15:31,7/22/18 15:31
8,160,7/22/18 15:36,7/22/18 15:36
9,168,7/22/18 15:45,7/22/18 15:46
10,176,7/22/18 15:55,7/22/18 15:55
11,178,7/22/18 15:58,7/22/18 15:58
12,189,7/22/18 16:09,7/22/18 16:09
13,198,7/22/18 16:20,7/22/18 16:20
14,202,7/22/18 16:27,7/22/18 16:27
15,204,7/22/18 16:30,7/22/18 16:30
16,206,7/22/18 16:34,7/22/18 16:34
17,210,7/22/18 16:38,7/22/18 16:39
18,221,7/22/18 16:53,7/22/18 16:54
19,222,7/22/18 16:55,7/22/18 16:55
20,226,7/22/18 17:00,7/22/18 17:01
21,241,7/28/18 20:45,7/28/18 20:46
22,241,7/28/18 20:46,7/28/18 20:46
23,242,7/28/18 20:46,7/28/18 20:47
24,243,7/28/18 20:46,7/28/18 20:47
25,249,7/28/18 20:54,7/28/18 20:54
26,248,7/28/18 20:54,7/28/18 20:54
27,255,7/28/18 21:02,7/28/18 21:02
28,257,7/28/18 21:05,7/28/18 21:05
29,258,7/28/18 21:07,7/28/18 21:07
30,266,7/28/18 21:21,7/28/18 21:21
31,268,7/28/18 21:23,7/28/18 21:24
32,272,7/28/18 21:29,7/28/18 21:29
33,279,7/28/18 21:39,7/28/18 21:39
