,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
30,8,8,3,4,7,7,6,0,1,157.0,824.0,31,8,2,8,8,1,8,8,6,7
37,10,4,3,9,9,9,7,0,1,194.0,754.0,32,10,2,10,9,1,3,10,2,9
39,10,6,7,8,9,5,9,0,1,279.0,2714.0,36,10,2,10,9,1,3,10,2,9
42,11,10,10,10,8,2,10,0,1,244.0,5468.0,40,11,1,11,10,1,9,5,1,2
51,14,2,9,6,5,8,8,0,1,170.0,1046.0,32,6,2,14,13,1,11,2,6,12
60,16,5,8,4,8,4,3,0,1,169.0,1295.0,28,15,2,16,14,1,13,11,9,14
61,16,4,7,4,4,9,4,0,1,152.0,2155.0,28,15,2,16,14,1,13,11,9,14
62,16,3,4,2,8,5,9,0,1,147.0,2782.0,29,15,2,16,14,1,13,11,9,14
65,17,9,5,8,6,7,6,0,1,252.0,1423.0,33,16,2,17,15,1,14,3,8,15
72,18,7,5,0,5,9,6,0,1,189.0,8413.0,32,17,2,18,16,1,15,11,8,2
77,19,10,5,10,5,10,6,0,1,294.0,9220.0,36,18,1,19,17,1,16,12,1,16
85,22,4,4,3,3,9,9,0,1,151.0,1796.0,29,21,2,22,13,1,19,2,3,2
86,22,4,8,9,5,9,3,0,1,223.0,2500.0,29,21,2,22,13,1,19,2,3,2
102,26,9,3,2,5,7,9,0,1,225.0,2269.0,33,24,2,26,22,1,23,16,2,16
109,28,7,7,5,9,9,4,0,1,160.0,2394.0,36,1,2,28,11,1,25,3,2,23
120,32,9,4,3,4,10,9,0,1,179.0,3340.0,36,8,1,32,26,1,28,19,8,3
